Number of Data Points = 64
        
File	hc(nm)	Pmax(N)	S(N/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
mapping-8x8x8-000_20190114_2243_00000 DC.hys	170.372801	3.776848	0.086125	942836.720079	200.936514	203.262677	0.078586	0.004006	0.000081	101.272732	2.325714	-73.108699	-58.402901	1.575471
mapping-8x8x8-000_20190114_2245_00001 DC.hys	166.163635	4.777927	0.096526	901565.380125	200.597083	203.287753	0.090070	0.005300	0.000018	75.917920	2.573189	-73.106699	-58.402703	1.056515
mapping-8x8x8-000_20190114_2247_00002 DC.hys	162.009937	228.218117	2.744071	861723.885228	202.212494	224.385716	2.619064	0.264839	0.000104	0.032926	2.697595	-73.104699	-58.402802	-0.556233
mapping-8x8x8-000_20190114_2249_00003 DC.hys	171.332140	276.444760	5.023344	952369.530857	202.899902	212.606156	4.560631	0.290270	0.000180	57.267394	2.822698	-73.102699	-58.402802	0.497814
mapping-8x8x8-000_20190114_2251_00004 DC.hys	155.479629	219.067769	250.000000	800867.829524	202.475859	156.136833	247.510948	0.273538	250.000000	155.260561	1.000000	-73.100699	-58.402802	0.214404
mapping-8x8x8-000_20190114_2252_00005 DC.hys	188.117506	43.598039	2.460683	1126744.151161	201.750172	201.405902	2.053893	0.038694	0.000056	142.447294	3.327637	-73.098699	-58.402802	0.299979
mapping-8x8x8-000_20190114_2254_00006 DC.hys	164.708531	57.725796	1.052716	887508.095057	201.952229	205.834867	0.990056	0.065043	0.000210	66.687176	2.537565	-73.096699	-58.402802	0.140161
mapping-8x8x8-000_20190114_2256_00007 DC.hys	168.297512	151.451595	3.339117	922375.383898	202.441343	202.315095	3.080439	0.164197	0.000079	68.310132	2.954464	-73.094699	-58.402802	0.073212
mapping-8x8x8-000_20190114_2258_00008 DC.hys	177.221271	159.223213	4.725728	1011916.201107	202.005300	202.490901	4.162280	0.157348	0.000347	106.304406	2.854805	-73.108699	-58.400700	0.047804
mapping-8x8x8-000_20190114_2259_00009 DC.hys	171.188203	272.731713	6.906843	950936.263480	202.610995	200.803584	6.275361	0.286803	0.000858	93.752909	2.711024	-73.106699	-58.400803	0.042329
mapping-8x8x8-000_20190114_2301_00010 DC.hys	170.894339	779.215019	19.455717	948013.348662	203.309160	200.932361	17.704140	0.821945	0.000858	85.275535	2.887761	-73.104699	-58.400803	0.251480
mapping-8x8x8-000_20190114_2303_00011 DC.hys	180.209187	211.273645	5.618388	1042802.987439	203.117058	208.412159	4.874672	0.202602	0.000000	20.392347	5.000000	-73.102699	-58.400803	0.187419
mapping-8x8x8-000_20190114_2304_00012 DC.hys	165.011839	76.359859	1.304529	890429.343163	202.211589	208.912648	1.224867	0.085756	0.000006	25.978836	3.125235	-73.100699	-58.400803	0.205571
mapping-8x8x8-000_20190114_2306_00013 DC.hys	140.625078	97.311303	1.043825	670565.007680	201.871435	210.544318	1.129386	0.145118	0.001605	15.798689	2.088970	-73.098699	-58.400700	0.226597
mapping-8x8x8-000_20190114_2308_00014 DC.hys	176.501549	105.588302	3.306929	1004544.166066	202.124492	200.448607	2.923312	0.105111	0.001110	117.587872	2.595123	-73.096699	-58.400803	0.044806
mapping-8x8x8-000_20190114_2309_00015 DC.hys	179.634829	77.503451	2.767276	1036830.440266	202.042266	200.640175	2.407872	0.074750	0.000392	122.315597	2.796594	-73.094699	-58.400803	-0.021730
mapping-8x8x8-000_20190114_2311_00016 DC.hys	162.732601	311.503917	5.477918	868592.261464	202.411253	205.381643	5.207657	0.358631	0.002386	69.090710	2.396729	-73.108699	-58.398701	0.047624
mapping-8x8x8-000_20190114_2312_00017 DC.hys	172.380440	197.773907	4.524398	962839.954141	201.967545	205.165007	4.085249	0.205407	0.000783	90.493133	2.623305	-73.106699	-58.398701	0.048593
mapping-8x8x8-000_20190114_2314_00018 DC.hys	178.069289	181.704595	5.616992	1020636.183977	201.745465	202.331110	4.926099	0.178031	0.000050	97.357831	3.245014	-73.104699	-58.398701	0.042149
mapping-8x8x8-000_20190114_2315_00019 DC.hys	160.679327	349.596534	6.053708	849147.177848	201.735949	203.991197	5.820560	0.411703	0.000156	38.645126	2.863177	-73.102699	-58.398701	0.040361
mapping-8x8x8-000_20190114_2317_00020 DC.hys	173.355705	407.118152	11.253161	972631.181858	202.541247	200.489291	10.109630	0.418574	0.054127	125.659091	2.068383	-73.100699	-58.398300	0.158398
mapping-8x8x8-000_20190114_2319_00021 DC.hys	174.555578	111.530154	3.145853	984743.831319	202.330553	201.145378	2.808741	0.113258	0.001559	112.729433	2.493887	-73.098699	-58.398701	0.043211
mapping-8x8x8-000_20190114_2320_00022 DC.hys	182.704528	57.954843	2.459100	1068945.925597	202.030427	200.380152	2.107333	0.054217	0.003041	143.022326	2.433768	-73.096699	-58.398701	0.128351
mapping-8x8x8-000_20190114_2322_00023 DC.hys	173.280054	111.292253	3.071147	971869.937955	202.239559	200.458559	2.760142	0.114514	0.018860	127.185274	2.022001	-73.094699	-58.398701	0.197572
mapping-8x8x8-000_20190114_2324_00024 DC.hys	160.884539	147.553103	2.109961	851080.907408	201.489362	213.333282	2.026394	0.173371	0.000065	19.136114	2.776956	-73.108699	-58.396702	0.334389
mapping-8x8x8-000_20190114_2325_00025 DC.hys	125.698195	211.002176	1.599095	551036.082807	201.388556	224.661461	1.908618	0.382919	0.020920	0.000905	1.702606	-73.106699	-58.396603	0.238851
mapping-8x8x8-000_20190114_2327_00026 DC.hys	154.490105	329.138833	4.536703	791836.597800	201.694257	208.902775	4.517076	0.415665	0.000577	24.573425	2.540714	-73.104699	-58.396702	0.062332
mapping-8x8x8-000_20190114_2329_00027 DC.hys	155.270911	337.827310	4.718685	798958.727890	202.371469	208.966059	4.677283	0.422834	0.000789	29.994557	2.499828	-73.102699	-58.396702	0.046585
mapping-8x8x8-000_20190114_2331_00028 DC.hys	146.082186	383.385741	4.357691	717120.579390	202.152488	212.066514	4.559268	0.534618	0.000946	0.000000	2.410419	-73.100699	-58.396702	0.049453
mapping-8x8x8-000_20190114_2332_00029 DC.hys	175.587641	107.648486	3.244004	995221.103465	201.923431	200.475514	2.881088	0.108165	0.004086	122.857709	2.339025	-73.098699	-58.396702	0.223264
mapping-8x8x8-000_20190114_2334_00030 DC.hys	177.059583	82.786825	2.655725	1010257.752327	202.008560	200.439306	2.341002	0.081946	0.010139	133.616067	2.143628	-73.096699	-58.396702	0.045848
mapping-8x8x8-000_20190114_2336_00031 DC.hys	182.592889	25.604011	1.062844	1067769.545621	201.667814	200.660460	0.911309	0.023979	0.036839	158.520739	1.749255	-73.094699	-58.396702	0.044402
mapping-8x8x8-000_20190114_2337_00032 DC.hys	155.623646	179.631828	2.240772	802186.420733	201.747365	215.747515	2.216638	0.223928	0.000125	3.595638	2.646435	-73.108699	-58.394802	0.249512
mapping-8x8x8-000_20190114_2339_00033 DC.hys	131.174590	213.879433	1.722758	593557.870775	201.788244	224.286686	1.981196	0.360335	0.012113	0.000000	1.806586	-73.106699	-58.394802	0.163603
mapping-8x8x8-000_20190114_2341_00034 DC.hys	136.509276	198.230437	1.770496	636463.321567	201.038912	220.481671	1.966270	0.311456	0.004814	0.000000	1.969233	-73.104699	-58.394802	0.246254
mapping-8x8x8-000_20190114_2343_00035 DC.hys	119.006648	228.027215	1.822020	501177.894151	201.066279	212.869743	2.280300	0.454983	0.025008	0.000000	1.700906	-73.102699	-58.394802	0.184340
mapping-8x8x8-000_20190114_2344_00036 DC.hys	164.898182	282.621157	5.229778	889334.131024	202.206029	205.428746	4.913440	0.317790	0.000047	40.187899	3.057708	-73.100699	-58.394802	0.125965
mapping-8x8x8-000_20190114_2346_00037 DC.hys	183.946484	45.272165	2.054435	1082075.532078	201.488475	200.473715	1.749841	0.041838	0.030275	157.608937	1.945189	-73.098799	-58.394802	0.110633
mapping-8x8x8-000_20190114_2348_00038 DC.hys	184.097742	20.909047	0.950413	1083679.938660	201.464309	200.597704	0.808904	0.019294	0.001109	146.362707	2.465233	-73.096699	-58.394802	0.246429
mapping-8x8x8-000_20190114_2350_00039 DC.hys	173.467839	33.209254	0.881764	973760.054854	201.204212	201.714559	0.791701	0.034104	0.000000	45.663774	4.143422	-73.094699	-58.394802	0.306321
mapping-8x8x8-000_20190114_2351_00040 DC.hys	131.959583	201.812246	1.659402	599779.521574	201.547708	223.172666	1.898413	0.336477	0.009888	0.000068	1.835038	-73.108699	-58.392800	0.219770
mapping-8x8x8-000_20190114_2353_00041 DC.hys	132.044777	216.486515	1.759864	600456.652109	201.546838	224.304677	2.012209	0.360536	0.011192	0.001362	1.823408	-73.106699	-58.392800	0.208481
mapping-8x8x8-000_20190114_2355_00042 DC.hys	158.363708	183.053539	2.420344	827475.944073	201.802094	215.087104	2.357406	0.221219	0.000134	13.665116	2.663213	-73.104699	-58.392800	0.173651
mapping-8x8x8-000_20190114_2357_00043 DC.hys	171.978945	141.608934	2.955107	958823.208778	201.558898	207.919002	2.673860	0.147690	0.000000	11.644944	4.095863	-73.102699	-58.392800	0.240003
mapping-8x8x8-000_20190114_2358_00044 DC.hys	135.905071	189.948416	1.707243	631530.397591	201.233742	219.350330	1.903413	0.300775	0.004604	0.003353	1.971475	-73.100699	-58.392800	0.142976
mapping-8x8x8-000_20190115_0000_00045 DC.hys	107.351425	220.624409	1.390352	419861.682335	201.725536	226.363210	1.901107	0.525469	0.096493	0.000691	1.426513	-73.098699	-58.392800	0.139799
mapping-8x8x8-000_20190115_0002_00046 DC.hys	172.086373	352.072400	9.030416	959897.166723	202.640886	201.326918	8.166393	0.366781	0.002239	100.259944	2.592299	-73.096699	-58.392800	0.169285
mapping-8x8x8-000_20190115_0004_00047 DC.hys	180.839632	24.399242	0.930134	1049378.067971	201.409097	200.513612	0.804478	0.023251	0.001972	140.213594	2.298722	-73.094699	-58.392800	0.042876
mapping-8x8x8-000_20190115_0005_00048 DC.hys	135.048751	201.685738	1.733062	624571.252594	201.613042	222.330283	1.942933	0.322919	0.006620	0.000000	1.910458	-73.108699	-58.390900	0.102072
mapping-8x8x8-000_20190115_0007_00049 DC.hys	128.910880	218.520414	1.713082	575793.898420	201.208035	224.580754	2.000227	0.379512	0.015845	0.008989	1.760521	-73.106699	-58.390801	0.167362
mapping-8x8x8-000_20190115_0009_00050 DC.hys	163.124529	149.884214	2.324926	872328.398440	201.537060	211.475825	2.205484	0.171821	0.000111	35.507903	2.729522	-73.104699	-58.390801	0.152745
mapping-8x8x8-000_20190115_0011_00051 DC.hys	129.583944	213.750216	1.695409	581048.061492	201.688040	224.140850	1.970622	0.367870	0.014161	0.000001	1.777825	-73.102699	-58.390801	0.089258
mapping-8x8x8-000_20190115_0012_00052 DC.hys	148.840916	183.607273	2.046563	741236.728406	201.327028	216.127116	2.106112	0.247704	0.000436	0.000034	2.409042	-73.100699	-58.390801	0.167097
mapping-8x8x8-000_20190115_0014_00053 DC.hys	162.778424	159.707059	2.442995	869028.672874	201.708106	211.808516	2.321884	0.183777	0.000101	32.108030	2.748829	-73.098699	-58.390801	0.128579
mapping-8x8x8-000_20190115_0016_00054 DC.hys	178.666817	31.527820	1.071391	1026802.423628	201.651772	200.737057	0.936784	0.030705	0.001491	131.560771	2.350777	-73.096699	-58.390801	0.046258
mapping-8x8x8-000_20190115_0018_00055 DC.hys	174.790905	49.059978	1.430569	987128.038082	201.542052	200.511437	1.275724	0.049700	0.000088	101.708233	2.881060	-73.094699	-58.390801	-0.189905
mapping-8x8x8-000_20190115_0019_00056 DC.hys	130.968148	223.319441	1.787304	591926.931003	201.686727	224.678900	2.058255	0.377275	0.013202	0.011664	1.798091	-73.108699	-58.388600	0.151262
mapping-8x8x8-000_20190115_0021_00057 DC.hys	125.500786	226.725828	1.670022	549532.136349	201.640514	227.322422	1.996000	0.412580	0.025684	0.008059	1.674357	-73.106699	-58.388802	0.104031
mapping-8x8x8-000_20190115_0023_00058 DC.hys	130.777648	220.046784	1.755513	590423.882819	201.413743	224.787236	2.024217	0.372693	0.013335	0.000004	1.793332	-73.104699	-58.388802	0.054390
mapping-8x8x8-000_20190115_0025_00059 DC.hys	149.211052	196.936535	2.194257	744502.030356	201.772041	216.524223	2.253146	0.264521	0.000458	0.029027	2.412179	-73.102699	-58.388802	0.076584
mapping-8x8x8-000_20190115_0026_00060 DC.hys	146.598199	209.124252	2.124196	721601.792026	201.951765	220.434706	2.215545	0.289806	0.002756	13.056984	2.106455	-73.100699	-58.388802	0.045878
mapping-8x8x8-000_20190115_0028_00061 DC.hys	172.774490	49.419791	1.289283	966790.204298	201.862752	201.522906	1.161761	0.051117	0.000214	99.246546	2.668226	-73.098799	-58.388703	-0.262380
mapping-8x8x8-000_20190115_0030_00062 DC.hys	173.056963	56.054405	1.495980	969626.794459	201.687348	201.159481	1.346041	0.057810	0.000331	102.842005	2.623897	-73.096699	-58.388901	0.047684
mapping-8x8x8-000_20190115_0032_00063 DC.hys	159.586658	32.127085	0.472925	838887.061677	201.069200	210.536231	0.457483	0.038297	0.000024	26.674716	2.706522	-73.094699	-58.388901	0.078969
Dummymapping-8x8x8-000_20190114_2243_00000 DC.hys	170.372801	3.776848	0.086125	942836.720079	200.936514	203.262677	0.078586	0.004006	0.000081	101.272732	2.325714	-73.108699	-58.402901	1.575471
mapping-8x8x8-000_20190114_2245_00001 DC.hys	166.163635	4.777927	0.096526	901565.380125	200.597083	203.287753	0.090070	0.005300	0.000018	75.917920	2.573189	-73.106699	-58.402703	1.056515
mapping-8x8x8-000_20190114_2247_00002 DC.hys	162.009937	228.218117	2.744071	861723.885228	202.212494	224.385716	2.619064	0.264839	0.000104	0.032926	2.697595	-73.104699	-58.402802	-0.556233
mapping-8x8x8-000_20190114_2249_00003 DC.hys	171.332140	276.444760	5.023344	952369.530857	202.899902	212.606156	4.560631	0.290270	0.000180	57.267394	2.822698	-73.102699	-58.402802	0.497814
mapping-8x8x8-000_20190114_2251_00004 DC.hys	155.479629	219.067769	250.000000	800867.829524	202.475859	156.136833	2.510948	0.273538	250.000000	155.260561	1.000000	-73.100699	-58.402802	0.214404
mapping-8x8x8-000_20190114_2252_00005 DC.hys	188.117506	43.598039	2.460683	1126744.151161	201.750172	201.405902	247.053893	0.038694	0.000056	142.447294	3.327637	-73.098699	-58.402802	0.299979
mapping-8x8x8-000_20190114_2254_00006 DC.hys	164.708531	57.725796	1.052716	887508.095057	201.952229	205.834867	0.990056	0.065043	0.000210	66.687176	2.537565	-73.096699	-58.402802	0.140161
mapping-8x8x8-000_20190114_2256_00007 DC.hys	168.297512	151.451595	3.339117	922375.383898	202.441343	202.315095	3.080439	0.164197	0.000079	68.310132	2.954464	-73.094699	-58.402802	0.073212
mapping-8x8x8-000_20190114_2258_00008 DC.hys	177.221271	159.223213	4.725728	1011916.201107	202.005300	202.490901	4.162280	0.157348	0.000347	106.304406	2.854805	-73.108699	-58.400700	0.047804
